Account Status (with the bank),Credit Months,Credit Amount (K=1000),"Saving (account, bonds)",Years of Employment,Residence Years,Age,"House (1=own, 2=rent)",Existing credit installment,Job (1=Good),"Dependent (e.g., children)",Credit (1=Good)
1,36,20,5,5,4,40,1,1,2,1,2
1,12,15,1,5,4,66,2,1,1,1,1
1,42,40,1,2,3,34,1,1,1,1,2
2,11,48,1,4,4,51,1,1,1,1,1
4,54,94,5,3,2,39,1,2,1,1,1
2,30,38,1,2,1,22,1,1,1,1,1
4,24,59,5,2,1,44,2,1,2,1,2
4,15,12,3,5,3,47,1,1,2,1,1
4,18,16,2,3,4,24,1,1,1,1,1
1,24,18,1,5,4,58,1,1,2,1,1
1,10,23,1,5,4,52,1,1,1,1,1
4,12,14,1,3,2,29,2,1,2,1,1
2,18,13,1,2,1,27,2,1,1,1,1
2,36,126,2,3,4,47,1,2,2,1,2
1,18,22,2,4,3,30,1,2,2,1,1
1,12,11,1,4,3,28,2,1,1,1,2
4,12,6,1,5,4,56,1,1,1,1,1
1,12,14,1,5,3,54,1,1,1,1,1
4,12,8,5,5,3,33,1,2,1,1,2
3,24,36,5,5,4,20,2,1,1,1,1
2,12,13,4,5,4,54,1,1,2,1,1
2,54,159,1,2,4,58,1,1,2,1,2
4,12,20,5,4,2,61,1,1,1,1,1
2,18,26,2,3,4,34,1,1,1,1,1
2,36,23,1,5,4,36,1,1,1,1,1
2,20,71,5,4,4,36,2,2,2,1,1
4,24,15,2,5,4,41,1,1,1,1,1
2,36,23,1,4,4,24,1,1,1,1,1
4,6,9,1,3,2,24,1,1,1,1,1
2,9,19,1,4,3,35,1,1,2,1,1
4,12,24,5,2,4,26,1,1,2,1,1
2,24,119,1,3,3,39,2,2,2,1,2
4,18,65,1,5,4,39,2,2,2,1,2
2,12,61,1,4,2,32,1,1,1,1,1
1,24,77,5,2,2,30,1,1,2,2,1
2,14,14,3,5,2,35,1,1,2,1,1
2,6,14,2,5,2,31,2,2,1,1,1
3,15,4,1,2,4,23,1,1,2,1,1
2,18,63,1,4,3,28,1,1,1,1,1
4,36,79,1,3,2,25,2,1,2,1,2
1,12,17,3,5,1,35,1,1,1,1,1
4,48,36,5,5,1,47,1,1,2,1,1
1,42,72,5,4,3,30,1,1,2,1,2
1,10,21,5,2,3,27,2,1,1,2,1
1,33,43,3,3,4,23,2,1,1,1,2
2,12,24,3,4,3,36,1,1,2,1,1
1,21,18,1,3,2,25,2,1,2,1,2
4,24,39,1,5,2,41,2,1,2,1,1
4,12,18,1,3,2,24,1,1,1,1,1
3,10,8,1,5,4,63,2,1,2,1,1
2,18,19,5,2,3,27,1,1,1,1,2
1,12,21,1,3,2,30,2,1,1,1,1
1,12,7,1,3,2,40,1,1,1,1,1
2,12,6,1,3,2,30,1,1,1,1,2
2,12,19,1,1,2,34,2,1,2,1,1
1,12,35,1,3,2,29,2,1,1,1,2
2,48,85,5,4,2,24,1,1,1,1,1
1,36,69,1,3,3,29,1,1,2,1,2
4,15,27,1,2,3,27,2,1,1,1,1
4,18,20,1,3,4,47,2,1,1,1,1
4,60,101,2,4,4,21,1,1,2,1,1
4,12,12,5,5,2,38,2,1,2,1,1
4,27,86,4,3,2,27,2,1,1,1,1
2,12,8,3,3,3,66,1,1,1,1,2
2,15,27,5,4,2,35,3,1,2,1,1
3,12,19,1,3,2,44,1,1,2,1,1
3,6,7,4,2,2,27,1,1,1,2,1
2,36,48,1,2,1,30,1,1,2,1,1
1,27,34,1,3,2,27,1,1,1,1,1
1,18,25,1,3,2,22,1,1,1,1,2
4,21,23,1,2,4,23,1,1,2,1,1
2,48,36,2,4,2,30,1,1,1,1,1
1,6,9,1,5,4,39,2,1,2,1,1
4,12,7,2,4,3,51,2,1,2,1,1
1,36,54,1,3,2,28,2,1,1,1,1
4,18,16,4,5,4,46,2,1,1,1,1
4,6,13,2,5,4,42,1,2,2,1,1
4,10,19,1,3,4,38,1,1,2,2,1
3,36,58,1,3,1,24,1,1,1,1,1
2,24,78,4,5,4,29,1,1,1,1,1
2,24,70,2,4,4,36,1,1,2,1,1
1,12,13,1,3,4,20,1,1,1,1,2
1,9,13,2,5,4,48,2,2,1,2,1
1,12,3,1,5,1,45,1,1,1,1,1
2,24,35,2,4,3,38,2,1,2,1,1
4,6,19,5,3,2,34,2,2,1,1,1
4,24,29,2,5,4,36,1,2,2,1,1
4,18,11,1,2,1,30,2,1,1,1,1
4,15,13,3,4,3,36,2,1,2,1,1
2,10,73,1,1,4,70,1,1,2,1,1
4,36,9,3,5,4,36,1,1,1,1,1
4,6,30,3,3,2,32,1,1,2,1,1
1,18,11,1,1,2,33,1,1,1,1,2
2,11,16,4,2,1,20,1,1,1,1,1
4,24,40,1,4,4,25,1,1,2,1,1
2,24,19,1,5,4,31,2,1,2,1,2
1,15,10,1,5,3,33,2,2,1,1,2
4,12,8,1,3,1,26,1,1,2,1,1
2,24,21,1,1,2,34,1,1,2,1,2
2,8,14,1,3,2,33,1,1,1,2,1
